,dataset,target,no_feat,no_rows,tr_RMSE,te_RMSE,model_class,model_complexity,k,d,l
53,halloween_candy_ranking,winpercent,11,85,36.818230391839286,31.13639349010796,xgboost,20,10,5,100
54,random_regression,y,3,999,51.963289615312284,54.05963526324749,xgboost,4,1,1,1
55,random_regression,y,3,999,52.0696551985487,54.16659306177666,xgboost,4,1,1,10
56,random_regression,y,3,999,52.887625948346006,54.971803877620786,xgboost,4,1,1,100
57,random_regression,y,3,999,51.617402976748934,53.623060447938556,xgboost,16,1,3,1
58,random_regression,y,3,999,51.87351194294666,53.90618900593966,xgboost,12,1,3,10
59,random_regression,y,3,999,52.87337099064659,54.95882114048583,xgboost,8,1,3,100
60,random_regression,y,3,999,51.61272046881312,53.61425472323771,xgboost,24,1,5,1
61,random_regression,y,3,999,51.873090685640264,53.90590437670199,xgboost,18,1,5,10
62,random_regression,y,3,999,52.8733669925068,54.958826789624666,xgboost,12,1,5,100
63,random_regression,y,3,999,42.966149865158435,44.92507325969534,xgboost,12,3,1,1
64,random_regression,y,3,999,43.24476328081404,45.317340548625985,xgboost,12,3,1,10
65,random_regression,y,3,999,45.2881882728798,47.2861710156671,xgboost,12,3,1,100
66,random_regression,y,3,999,41.97108583757439,43.69303343576699,xgboost,48,3,3,1
67,random_regression,y,3,999,42.626628433433694,44.484406767547725,xgboost,36,3,3,10
68,random_regression,y,3,999,45.248800342681676,47.26538914648399,xgboost,24,3,3,100
69,random_regression,y,3,999,41.959230008711906,43.67716861522111,xgboost,72,3,5,1
70,random_regression,y,3,999,42.624795327796576,44.48264592944567,xgboost,52,3,5,10
71,random_regression,y,3,999,45.24878631214133,47.265408725121354,xgboost,36,3,5,100
72,random_regression,y,3,999,23.001926348592725,24.455742065193697,xgboost,40,10,1,1
73,random_regression,y,3,999,23.46186783338395,25.102080998597074,xgboost,40,10,1,10
74,random_regression,y,3,999,27.333857502498237,29.20286377391398,xgboost,40,10,1,100
75,random_regression,y,3,999,20.44589007495613,21.609144011643846,xgboost,154,10,3,1
76,random_regression,y,3,999,21.61610336625395,22.835724991483392,xgboost,116,10,3,10
77,random_regression,y,3,999,26.97213868542598,28.841141239418565,xgboost,80,10,3,100
78,random_regression,y,3,999,20.42403707982965,21.587495074544137,xgboost,242,10,5,1
79,random_regression,y,3,999,21.607507789657053,22.826890519784207,xgboost,162,10,5,10
80,random_regression,y,3,999,26.97202468199723,28.84123001688278,xgboost,120,10,5,100
81,red_wine_quality,quality,11,1599,4.689438566814255,4.696961612843684,xgboost,4,1,1,1
82,red_wine_quality,quality,11,1599,4.6950118529839475,4.7021993518790515,xgboost,4,1,1,10
83,red_wine_quality,quality,11,1599,4.727781825648051,4.735167421225433,xgboost,2,1,1,100
84,red_wine_quality,quality,11,1599,4.688834225100318,4.694527907422684,xgboost,8,1,3,1
85,red_wine_quality,quality,11,1599,4.6950118529839475,4.7021993518790515,xgboost,4,1,3,10
86,red_wine_quality,quality,11,1599,4.727781825648051,4.735167421225433,xgboost,2,1,3,100
87,red_wine_quality,quality,11,1599,4.688834225100318,4.694527907422684,xgboost,8,1,5,1
88,red_wine_quality,quality,11,1599,4.6950118529839475,4.7021993518790515,xgboost,4,1,5,10
89,red_wine_quality,quality,11,1599,4.727781825648051,4.735167421225433,xgboost,2,1,5,100
90,red_wine_quality,quality,11,1599,3.8236899475146453,3.829980228606203,xgboost,12,3,1,1
91,red_wine_quality,quality,11,1599,3.8387149953184103,3.845252782172916,xgboost,10,3,1,10
